년월,평균기온(℃),최저기온(℃),최고기온(℃)
Apr-06,11.6,2.9,22.2
May-06,18.4,10.8,28.3
Jun-06,21.8,14.1,32.4
Jul-06,23.1,17.5,30.1
Aug-06,27,20.8,34.7
Sep-06,21.1,11.3,30.3
Oct-06,17.9,7.9,27.5
Nov-06,8.4,-1.3,20.2
Dec-06,1.4,-12.3,12.6
Jan-07,0.4,-7.6,11.8
Feb-07,4,-8.6,14.8
Mar-07,6.1,-7.6,16.2
Apr-07,11.4,1.6,22.5
May-07,18.1,9,30.1
Jun-07,23.2,14.1,33.2
Jul-07,24.2,17.7,31.2
Aug-07,26.5,19.8,33.2
Sep-07,21.5,14.1,31.1
Oct-07,15.1,3.2,26.2
Nov-07,6.7,-5.5,19.3
Dec-07,1.8,-7.4,13.8
Jan-08,-1.7,-11.1,7.3
Feb-08,-1.2,-10.1,10.5
Mar-08,7.3,-1.7,19.8
Apr-08,14.1,3.8,28
May-08,17.7,8.1,28.5
Jun-08,21.5,13.7,29.6
Jul-08,25.1,20.2,32.9
Aug-08,25.3,16.3,35.4
Sep-08,22,10.3,32
Oct-08,16.1,5.6,28.3
Nov-08,7.6,-7.2,18.4
Dec-08,1.1,-13.1,13.3
Jan-09,-2,-11.4,12.2
Feb-09,2.9,-8.6,16.1
Mar-09,6,-3.3,22.2
Apr-09,12.7,2.2,25.8
May-09,19.1,9.8,31
Jun-09,22.4,14.3,32.4
Jul-09,24.3,18.7,32.4
Aug-09,25.7,16.4,34.4
Sep-09,21.8,14.4,29.9
Oct-09,16,6.2,26.4
Nov-09,6.9,-4.3,21.8
Dec-09,-1,-12.9,10.1
Jan-10,-4.5,-15.3,8.4
Feb-10,1.4,-10.8,17.9
Mar-10,4.3,-4,14.2
Apr-10,9.5,1.1,20.7
May-10,17.2,5.8,28.6
Jun-10,23.4,12.1,32.7
Jul-10,25.8,21,32.3
Aug-10,26.5,19.9,33.8
Sep-10,21.8,8.4,31.4
