기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 경남
기간 : 1973~2021 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1999-10,경남,14.7,9.7,21.1
1999-11,경남,8.8,3.3,15.6
1999-12,경남,2.9,-2.6,9.3
2000-01,경남,1.7,-3,7.2
2000-02,경남,1.5,-4.1,7.8
2000-03,경남,7.5,0.9,14.5
2000-04,경남,12.8,6.3,19.4
2000-05,경남,17.7,11.5,24.6
2000-06,경남,21.6,17.1,27.1
2000-07,경남,25.7,21.9,30.6
2000-08,경남,25.7,22.3,30.2
2000-09,경남,20.1,16.6,24.9
2000-10,경남,15.3,10.7,21.4
2000-11,경남,8.4,3.6,14.8
2000-12,경남,3.1,-2.2,9.9
2001-01,경남,0,-4.4,5
2001-02,경남,3,-2.2,9
2001-03,경남,7.2,1.4,13.6
2001-04,경남,13.4,6.2,20.8
2001-05,경남,18.2,12.9,24.1
2001-06,경남,21.8,17.6,26.9
2001-07,경남,25.7,21.9,30.7
2001-08,경남,25.4,21.5,30.7
2001-09,경남,20.8,16.4,26.7
2001-10,경남,16.1,11.7,22
2001-11,경남,8.1,2.5,15.3
2001-12,경남,2.5,-2.1,8.3
2002-01,경남,3,-1.4,8.1
2002-02,경남,4,-1.9,11.2
2002-03,경남,9.1,3,15.8
2002-04,경남,14,7.9,20.2
2002-05,경남,17.1,12.1,22.8
2002-06,경남,21.5,16.2,27.5
2002-07,경남,24.6,21.4,28.9
2002-08,경남,24.3,21.4,28.1
2002-09,경남,20.4,16,26.2
2002-10,경남,13.8,8.7,20.4
2002-11,경남,6.3,0.6,12.6
2002-12,경남,3.9,-0.6,9.3
2003-01,경남,0,-5,5.8
2003-02,경남,3.9,-1,9.8
2003-03,경남,7.2,1.9,13
2003-04,경남,13.3,8.3,19.2
2003-05,경남,17.2,12.2,23.2
2003-06,경남,21.2,17.1,26.3
2003-07,경남,22.2,19.5,26
2003-08,경남,24.4,21.2,28.9
2003-09,경남,22,18.1,27.3
2003-10,경남,14.5,8.8,21.7
2003-11,경남,11,6.4,16.6
2003-12,경남,3.5,-1.6,9.7
2004-01,경남,0.8,-4.4,7.2
2004-02,경남,4.6,-1.7,11.6
2004-03,경남,8,1.7,14.9
2004-04,경남,14,6.9,21.5
2004-05,경남,18.1,13,23.7
2004-06,경남,22,16.9,27.9
2004-07,경남,26.1,22.3,31
2004-08,경남,25.4,21.8,30.5
2004-09,경남,21.5,17.8,26.6
2004-10,경남,15.1,9.5,22.1
2004-11,경남,10.2,4.6,17.5
2004-12,경남,4.6,-0.6,11.1
2005-01,경남,0.4,-4.4,6.1
2005-02,경남,1.3,-3.3,6.7
2005-03,경남,6.3,0.4,12.8
2005-04,경남,14.1,7.6,21.1
2005-05,경남,17.8,11.6,24.7
2005-06,경남,22.7,18.1,28.3
2005-07,경남,25,21.4,29.6
2005-08,경남,25.5,21.9,30.2
2005-09,경남,22.4,19,27.1
2005-10,경남,15.2,10.2,21.7
2005-11,경남,9.2,3.3,16.5
2005-12,경남,-0.1,-5.3,5.9
2006-01,경남,2.1,-2.6,8
2006-02,경남,2.8,-2.5,8.7
2006-03,경남,7.3,1.1,14.2
2006-04,경남,12.3,6.8,18.2
2006-05,경남,17.4,12.4,23.3
2006-06,경남,21.6,16.8,27.4
2006-07,경남,23.5,20.8,27.2
2006-08,경남,26.9,23,32.3
2006-09,경남,19.8,15.7,25.2
2006-10,경남,17.4,12.3,24.8
2006-11,경남,10,4.9,16
