년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2009-06,경북,22.2,17,27.9
2009-07,경북,23.3,19.7,27.8
2009-08,경북,23.9,20.2,28.4
2009-09,경북,20.7,16,26.4
2009-10,경북,15.2,9.3,22.3
2009-11,경북,7.9,3.3,13.2
2009-12,경북,1.3,-3.1,6.5
2010-01,경북,-1.4,-6.5,4.1
2010-02,경북,2.4,-2.1,7.4
2010-03,경북,5.4,1.2,10
2010-04,경북,10,4.4,15.8
2010-05,경북,17.3,11.2,23.6
2010-06,경북,22.4,16.8,28.4
2010-07,경북,25.5,22,30.1
2010-08,경북,26.9,23.5,31.6
2010-09,경북,21.3,17.2,26.8
2010-10,경북,14.5,9.4,20.6
2010-11,경북,7,0.9,14.1
2010-12,경북,0.9,-4.1,6.7
2011-01,경북,-3.9,-9,1.3
2011-02,경북,2.4,-2.9,8.3
2011-03,경북,5.3,-0.5,11.5
2011-04,경북,11.9,5.4,18.3
2011-05,경북,17,11.6,22.7
2011-06,경북,22.3,17.3,27.8
2011-07,경북,25,21.7,29.2
2011-08,경북,24.9,21.8,29.1
2011-09,경북,20.9,16.6,26.1
2011-10,경북,13.8,8.3,20.3
2011-11,경북,10.6,6.3,15.7
2011-12,경북,1.1,-3.5,6.1
2012-01,경북,-0.6,-5.2,4.5
2012-02,경북,-0.3,-5.5,5.3
2012-03,경북,6.3,1.5,11.3
2012-04,경북,13.3,7.1,19.9
2012-05,경북,18.1,12.5,24.3
2012-06,경북,21.5,17.3,26.6
2012-07,경북,25.7,21.9,30.3
2012-08,경북,26.1,22.7,30.5
2012-09,경북,20,15.7,25.4
2012-10,경북,14,8.1,21.1
2012-11,경북,6.6,1.6,12.2
2012-12,경북,-1.5,-6,3.3
2013-01,경북,-1.8,-6.7,3.6
2013-02,경북,1.3,-3.7,6.7
2013-03,경북,7.7,0.8,14.9
2013-04,경북,10.7,4.5,17.2
2013-05,경북,18.2,12,24.8
2013-06,경북,22.2,18.2,27.3
2013-07,경북,26.7,22.9,31.5
2013-08,경북,27.3,23,32.9
2013-09,경북,20.9,16.5,26.3
2013-10,경북,15.3,10.2,21.6
2013-11,경북,7,2.1,12.8
2013-12,경북,1.8,-2.9,7
2014-01,경북,0.8,-4.7,6.9
2014-02,경북,2.5,-2.2,7.9
2014-03,경북,7.9,2,14
2014-04,경북,13.6,7.3,20.1
2014-05,경북,18.9,11.9,26
2014-06,경북,21.5,17.3,26.4
2014-07,경북,25.4,21.2,30.3
2014-08,경북,23.3,20.2,27.3
2014-09,경북,20.4,15.7,26.1
2014-10,경북,14.3,8.9,20.7
2014-11,경북,8.6,3.6,14.6
2014-12,경북,-0.5,-5.1,4.6
2015-01,경북,0.8,-3.8,5.9
2015-02,경북,2.4,-2.5,7.9
2015-03,경북,7.3,0.8,14.1
2015-04,경북,12.8,7.2,18.7
2015-05,경북,19.4,12.4,26.2
2015-06,경북,21.4,16.4,27.1
2015-07,경북,24.1,20.3,28.6
2015-08,경북,25.1,20.9,30.6
2015-09,경북,19.8,14.9,25.5
2015-10,경북,14.7,8.8,21.5
2015-11,경북,10,6.4,14.1
2015-12,경북,3.6,-0.8,8.5
2016-01,경북,-0.7,-5.3,4.2
2016-02,경북,2,-3,7.6
2016-03,경북,7.5,1.6,13.6
2016-04,경북,13.8,7.9,20.1
2016-05,경북,18.7,11.9,25.6
2016-06,경북,22.3,17.7,27.6
2016-07,경북,25.1,21.4,29.9
2016-08,경북,26.4,21.8,32
2016-09,경북,21,17.7,25.2
2016-10,경북,15.6,11.8,20.4
2016-11,경북,7.8,2.9,13.5
2016-12,경북,3.4,-1.4,8.7
2017-01,경북,0.5,-4.6,6
2017-02,경북,2.3,-3.4,8.3
2017-03,경북,6.9,0.9,13.2
2017-04,경북,14.5,8.1,21.2
2017-05,경북,19.4,12.8,26.3
2017-06,경북,21.8,16.1,28.2
2017-07,경북,26.3,22.7,31.1
2017-08,경북,25,21.4,29.7
2017-09,경북,20.3,15.1,26.2
2017-10,경북,15.3,10.8,20.8
2017-11,경북,7.1,1.3,13.6
2017-12,경북,-0.1,-5.2,5.5
2018-01,경북,-1.6,-6.1,3.8
2018-02,경북,0.3,-5.6,6.6
2018-03,경북,8.6,2.5,14.9
2018-04,경북,14.1,7.6,20.7
2018-05,경북,18,12.5,23.7
2018-06,경북,22.5,17.4,28.1
2018-07,경북,26.9,22.6,31.9
2018-08,경북,26.8,22.6,31.9
