년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2002-02,서울경기,1.7,-2.6,6.6
2002-03,서울경기,6.8,2.3,12
2002-04,서울경기,12.9,7.9,18.3
2002-05,서울경기,16.9,12.2,22.5
2002-06,서울경기,21.1,16.7,26.4
2002-07,서울경기,24.6,21.5,28.6
2002-08,서울경기,23.7,20.9,27.4
2002-09,서울경기,21,16.9,26
2002-10,서울경기,12.3,7.7,17.6
2002-11,서울경기,3.5,-0.9,7.9
2002-12,서울경기,1,-3,5.2
2003-01,서울경기,-3.2,-7.1,1
2003-02,서울경기,1.7,-2.3,6.2
2003-03,서울경기,5.6,1.3,10.2
2003-04,서울경기,12.3,7.8,17.4
2003-05,서울경기,18.4,13.2,24.3
2003-06,서울경기,20.7,17.2,25.1
2003-07,서울경기,23.3,20.2,27.4
2003-08,서울경기,23.7,20.7,27.4
2003-09,서울경기,20.6,17,25.1
2003-10,서울경기,13.8,9,19.3
2003-11,서울경기,9,5,13.5
2003-12,서울경기,0.4,-3.6,4.6
2004-01,서울경기,-2.1,-6,2.3
2004-02,서울경기,1.8,-2.6,6.8
2004-03,서울경기,5.5,0.7,10.8
2004-04,서울경기,12,7,17.7
2004-05,서울경기,16.5,12.5,21.4
2004-06,서울경기,22,17.9,27.1
2004-07,서울경기,24,21.5,27.3
2004-08,서울경기,25.5,22.1,30
2004-09,서울경기,21.2,17,26.3
2004-10,서울경기,14.6,9.2,20.8
2004-11,서울경기,8.7,4.3,13.7
2004-12,서울경기,1.7,-2.4,6.4
2005-01,서울경기,-2.5,-6.7,2.4
2005-02,서울경기,-1.8,-6,2.9
2005-03,서울경기,4,-0.4,9.2
2005-04,서울경기,12.4,7.5,18
2005-05,서울경기,17,11.9,23
2005-06,서울경기,21.8,18.3,26.6
2005-07,서울경기,24.7,22,28.6
2005-08,서울경기,24.8,22,28.7
2005-09,서울경기,21.5,18,26.1
2005-10,서울경기,14.3,9.7,19.8
2005-11,서울경기,8.2,3.6,13.1
2005-12,서울경기,-4,-8,0.2
2006-01,서울경기,-0.7,-4.3,3.5
2006-02,서울경기,-0.3,-4.6,4.2
2006-03,서울경기,4.7,0.2,9.7
2006-04,서울경기,11,6.9,15.7
2006-05,서울경기,17.5,13.1,22.7
2006-06,서울경기,20.8,17.2,25.4
2006-07,서울경기,22.8,20.5,25.9
2006-08,서울경기,26.6,23.3,30.9
2006-09,서울경기,20.8,16.4,25.7
2006-10,서울경기,17.4,13.1,22.6
2006-11,서울경기,8.4,4.1,12.7
2006-12,서울경기,1.2,-2.7,5.6
2007-01,서울경기,0,-3.9,4.3
2007-02,서울경기,3.4,-1,8.5
2007-03,서울경기,5.8,1.6,10.2
2007-04,서울경기,10.8,6.7,15.5
2007-05,서울경기,17.1,12.7,22.1
2007-06,서울경기,22.2,18.2,26.7
2007-07,서울경기,23.5,20.7,27.1
2007-08,서울경기,25.8,23.2,29.2
2007-09,서울경기,21.3,18.2,24.9
2007-10,서울경기,14.7,10.7,19.6
2007-11,서울경기,6.4,2,11.4
2007-12,서울경기,1.7,-2,5.8
2008-01,서울경기,-1.9,-5.8,2
2008-02,서울경기,-1.3,-5.8,3.2
2008-03,서울경기,6.8,2.8,11.7
2008-04,서울경기,13.2,8.1,18.9
2008-05,서울경기,16.9,12.4,22
2008-06,서울경기,21,17.2,25.7
2008-07,서울경기,24.7,22.1,28
2008-08,서울경기,25,21.5,29.3
2008-09,서울경기,21.7,17.6,26.7
2008-10,서울경기,15.9,11.6,21
2008-11,서울경기,7.5,3.1,12.2
2008-12,서울경기,1.1,-3.1,5.4
2009-01,서울경기,-2.2,-6.5,2.6
2009-02,서울경기,2.5,-1.7,6.9
2009-03,서울경기,5.8,1.1,10.6
2009-04,서울경기,11.7,6.9,17.1
2009-05,서울경기,17.9,13.4,23.1
2009-06,서울경기,21.4,17.6,25.8
2009-07,서울경기,23.7,20.4,27.7
2009-08,서울경기,25.2,21.7,29.2
2009-09,서울경기,21.2,16.9,26
2009-10,서울경기,15.6,11,20.9
2009-11,서울경기,6.8,3.2,10.6
2009-12,서울경기,-0.9,-4.6,3
2010-01,서울경기,-4.5,-8.8,-0.1
2010-02,서울경기,1.1,-2.6,5.1
2010-03,서울경기,4.4,0.4,8.4
2010-04,서울경기,9.2,5.1,13.8
2010-05,서울경기,16.5,12.3,21.3
2010-06,서울경기,22.5,18.3,27.3
2010-07,서울경기,25.3,22.7,28.8
2010-08,서울경기,26.3,23.6,29.8
2010-09,서울경기,21.8,18.4,26
2010-10,서울경기,14.3,9.8,19.4
2010-11,서울경기,6.5,2,11.5
2010-12,서울경기,-0.9,-5.3,3.7
2011-01,서울경기,-7,-11.3,-2.8
2011-02,서울경기,0.6,-3.7,5.7
2011-03,서울경기,3.6,-0.5,8.4
2011-04,서울경기,10,5.7,14.9
2011-05,서울경기,16.8,12.3,21.9
2011-06,서울경기,20.7,17.1,25.3
2011-07,서울경기,24.4,21.7,27.7
2011-08,서울경기,25.4,22.7,29.1
2011-09,서울경기,21.4,17.4,26.1
2011-10,서울경기,14,9.2,19.1
2011-11,서울경기,10.8,7,14.8
2011-12,서울경기,-0.7,-4.4,3.2
2012-01,서울경기,-2.9,-7.1,1.6
2012-02,서울경기,-2.1,-6.6,3.1
2012-03,서울경기,4.8,1,9.2
2012-04,서울경기,11.7,7,17.2
2012-05,서울경기,18.5,14,24
2012-06,서울경기,23.1,18.9,28.5
2012-07,서울경기,24.8,22,28.4
2012-08,서울경기,26.7,23.5,30.4
2012-09,서울경기,20.6,16.9,24.8
2012-10,서울경기,14.9,10.2,20.2
2012-11,서울경기,5.5,1.4,9.6
2012-12,서울경기,-4.3,-8.1,-0.3
2013-01,서울경기,-3.6,-7.6,0.5
2013-02,서울경기,-1.6,-5.7,2.6
2013-03,서울경기,4.3,-0.4,9.8
2013-04,서울경기,9.3,4.8,14.2
2013-05,서울경기,16.8,12.2,22.1
2013-06,서울경기,23,19,27.7
2013-07,서울경기,24.8,22.7,27.7
2013-08,서울경기,27,23.9,30.8
2013-09,서울경기,21.3,17.5,25.7
2013-10,서울경기,15.4,10.5,20.8
2013-11,서울경기,6.1,1.7,10.7
2013-12,서울경기,-0.3,-4.1,3.7
2014-01,서울경기,-0.8,-5.4,3.5
