년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1997-07,강원영동,24.9,21.4,28.7
1997-08,강원영동,25.1,21.7,29.2
1997-09,강원영동,18.9,15,23.2
1997-10,강원영동,14.8,9.5,20
1997-11,강원영동,9.8,6,14
1997-12,강원영동,3.4,-0.3,7.3
1998-01,강원영동,0.2,-3.5,4.1
1998-02,강원영동,3.2,-0.5,7.4
1998-03,강원영동,9,4.2,13.9
1998-04,강원영동,14.3,10.3,18.5
1998-05,강원영동,18,13.1,22.6
1998-06,강원영동,19.1,16.3,22.2
1998-07,강원영동,22.2,20.1,24.5
1998-08,강원영동,23.8,21.2,27.1
1998-09,강원영동,21.6,17.7,25.6
1998-10,강원영동,17.1,13.2,21.3
1998-11,강원영동,9.3,4.9,13.9
1998-12,강원영동,5.1,1.4,9.1
1999-01,강원영동,2.2,-1.7,6.6
1999-02,강원영동,3.4,-0.6,7.7
1999-03,강원영동,6.3,1.7,10.8
1999-04,강원영동,12.3,7.6,16.9
1999-05,강원영동,17.8,13.2,22.5
1999-06,강원영동,21.8,18.3,25.7
1999-07,강원영동,23.6,21.1,26.4
1999-08,강원영동,23.6,21.2,26.5
1999-09,강원영동,21.8,18.5,25.1
1999-10,강원영동,15.3,11.2,19.8
1999-11,강원영동,9.5,5.5,13.8
1999-12,강원영동,3.4,-0.3,7.4
2000-01,강원영동,0.2,-3.2,4.1
2000-02,강원영동,0.4,-3.7,5
2000-03,강원영동,7.5,2.5,12.7
2000-04,강원영동,11.9,6.9,17.1
2000-05,강원영동,15.7,11.7,20.5
2000-06,강원영동,20.5,16.4,25.1
2000-07,강원영동,26,22.5,30.4
2000-08,강원영동,24.7,22.1,28.3
2000-09,강원영동,19.2,16,23.1
2000-10,강원영동,15,10.8,19.7
2000-11,강원영동,8.2,3.9,12.9
2000-12,강원영동,3.7,-0.8,8.3
2001-01,강원영동,-1.8,-5.3,2.1
2001-02,강원영동,1.7,-2.3,6.2
2001-03,강원영동,6.1,1.3,11.2
2001-04,강원영동,13.2,7.8,18.6
2001-05,강원영동,18,13.9,23.2
2001-06,강원영동,21.1,17.9,25.1
2001-07,강원영동,25,21.4,29.1
2001-08,강원영동,23.5,20,27.7
2001-09,강원영동,20,16.1,24.2
2001-10,강원영동,16.1,12.2,20.6
2001-11,강원영동,8.9,4.6,13.6
2001-12,강원영동,1.8,-1.8,6.1
2002-01,강원영동,1.2,-2.5,5.4
2002-02,강원영동,4.5,0.1,9
2002-03,강원영동,9.2,4.1,14.1
2002-04,강원영동,13.3,8.6,18.4
2002-05,강원영동,16.4,11.9,20.7
2002-06,강원영동,20.4,16.2,24.9
2002-07,강원영동,22.8,20,26.2
2002-08,강원영동,23.1,20.8,26.2
2002-09,강원영동,19.3,15.7,23.4
2002-10,강원영동,13.5,9.2,18.1
2002-11,강원영동,5.7,1.5,10.3
2002-12,강원영동,1.9,-1.5,5.6
2003-01,강원영동,-1,-4.9,3.2
2003-02,강원영동,2.2,-1.4,5.9
2003-03,강원영동,5.2,1.5,9.4
2003-04,강원영동,11.9,7.3,16.8
2003-05,강원영동,15.5,12,19.5
2003-06,강원영동,20.8,17.5,24.6
2003-07,강원영동,21.1,18.8,24
2003-08,강원영동,22.9,20,26.4
2003-09,강원영동,19.9,16.5,23.7
2003-10,강원영동,14.5,9.9,19.4
2003-11,강원영동,10,6.3,13.3
2003-12,강원영동,3.4,-0.4,7.5
2004-01,강원영동,0.7,-2.8,4.9
2004-02,강원영동,4.1,0.1,8.5
2004-03,강원영동,7.4,2.7,12.1
2004-04,강원영동,13.7,8.5,19.4
2004-05,강원영동,17.5,13.2,22.4
2004-06,강원영동,21.4,17.6,25.7
2004-07,강원영동,24.2,21.5,27.6
2004-08,강원영동,23.4,20.4,26.8
2004-09,강원영동,20.4,17.2,24.3
2004-10,강원영동,15.2,10.6,19.9
2004-11,강원영동,11,6.8,15.5
2004-12,강원영동,4.7,0.8,9.2
2005-01,강원영동,0.2,-3.6,4.4
2005-02,강원영동,-0.4,-4.3,3.5
2005-03,강원영동,4.7,0.3,9.1
2005-04,강원영동,13.4,8.5,17.9
2005-05,강원영동,15.3,11.1,20.1
2005-06,강원영동,21.7,18.2,25.9
2005-07,강원영동,24.7,21.9,28.1
2005-08,강원영동,25.5,22.3,29.4
2005-09,강원영동,20.3,17,24
2005-10,강원영동,15.2,11.1,19.8
2005-11,강원영동,10.2,6.1,14.7
2005-12,강원영동,-1,-5.2,3.4
2006-01,강원영동,0.7,-2.7,4.7
2006-02,강원영동,2,-2,6.3
2006-03,강원영동,6.6,1.4,11.5
2006-04,강원영동,10.3,6.5,14.6
2006-05,강원영동,15.7,11.6,20.6
2006-06,강원영동,19.3,16.3,23.2
2006-07,강원영동,21.5,19.3,24.4
2006-08,강원영동,25.8,22.8,29.4
2006-09,강원영동,19.3,15.5,23.6
2006-10,강원영동,17.5,13.7,21.7
2006-11,강원영동,8.9,5.2,12.8
2006-12,강원영동,2.9,-0.8,7.5
2007-01,강원영동,1.8,-1.7,6.1
2007-02,강원영동,4.8,0.4,9.5
2007-03,강원영동,6.8,2.7,11.3
2007-04,강원영동,12,7.6,16.4
2007-05,강원영동,17.7,13.5,22.5
2007-06,강원영동,20.9,16.8,25.1
2007-07,강원영동,22.4,20.2,25.2
2007-08,강원영동,25.7,22.6,29.5
2007-09,강원영동,20.8,18.1,24.1
2007-10,강원영동,15.5,11.8,20.1
2007-11,강원영동,8.8,4.7,13.4
2007-12,강원영동,4,0.6,8.2
2008-01,강원영동,0.7,-2.7,4.6
2008-02,강원영동,1.7,-2.4,6.3
2008-03,강원영동,7.4,3.2,11.7
2008-04,강원영동,13.5,9.1,18
2008-05,강원영동,17.8,13.6,22.7
2008-06,강원영동,19.3,15.8,22.9
2008-07,강원영동,26,23,29.6
2008-08,강원영동,23.7,20.7,27
2008-09,강원영동,21.3,17.8,25.1
2008-10,강원영동,17.6,13.6,22
2008-11,강원영동,9.7,6.1,13.4
2008-12,강원영동,3.9,-0.1,7.8
2009-01,강원영동,0.7,-3,5.1
2009-02,강원영동,5,1.5,8.9
2009-03,강원영동,7.2,3.1,11.1
2009-04,강원영동,13,8.1,17.8
2009-05,강원영동,18.4,13.9,23.2
2009-06,강원영동,20.9,17.2,24.8
2009-07,강원영동,22.3,19.3,26.1
2009-08,강원영동,23.2,20,26.7
2009-09,강원영동,20.1,16.3,24.5
2009-10,강원영동,16.4,12.1,21.2
2009-11,강원영동,8.3,4.8,12.2
2009-12,강원영동,2.1,-1.7,6.4
2010-01,강원영동,-0.2,-4.4,4.4
2010-02,강원영동,2,-1.9,6.2
2010-03,강원영동,3.9,0.8,7.4
2010-04,강원영동,9.6,5.5,13.9
2010-05,강원영동,16.7,12.1,21.4
2010-06,강원영동,21.1,16.9,25.6
2010-07,강원영동,25.4,22.6,29
2010-08,강원영동,26.1,23.4,29.7
2010-09,강원영동,20.6,17.3,24.5
2010-10,강원영동,14.9,11.3,19.3
2010-11,강원영동,9.3,4.6,14
2010-12,강원영동,2.9,-1.5,7.6
2011-01,강원영동,-2.7,-6.9,1.9
2011-02,강원영동,2.3,-1.7,6.4
2011-03,강원영동,5.4,1.1,9.9
2011-04,강원영동,11.6,6.7,16.5
2011-05,강원영동,15.2,11.6,19.6
2011-06,강원영동,21.1,17.3,25.3
2011-07,강원영동,22.9,20.6,25.8
2011-08,강원영동,25.1,22.3,28.5
2011-09,강원영동,20.3,16.9,24
2011-10,강원영동,14.9,10.7,19.4
2011-11,강원영동,11.1,7.7,14.9
2011-12,강원영동,1.4,-2.1,5.4
2012-01,강원영동,-0.2,-3.4,3.8
2012-02,강원영동,0.3,-4.1,4.7
2012-03,강원영동,5.5,1.7,9.4
2012-04,강원영동,12.7,8.2,17.4
2012-05,강원영동,17,13.3,21.1
2012-06,강원영동,20.2,17.5,23.4
2012-07,강원영동,24.6,21.7,28.3
2012-08,강원영동,24.8,22.2,27.9
2012-09,강원영동,19.9,16.7,23.6
2012-10,강원영동,15.8,11.3,20.5
2012-11,강원영동,7.7,3.7,12
2012-12,강원영동,-0.3,-4,4
2013-01,강원영동,-0.6,-4.4,3.6
2013-02,강원영동,1.6,-2.8,6.1
2013-03,강원영동,6.9,2.1,11.6
2013-04,강원영동,10.6,5.9,15
2013-05,강원영동,17.5,13.3,22.1
2013-06,강원영동,21,18.3,24.1
2013-07,강원영동,26.3,23.4,29.9
2013-08,강원영동,28,24.7,31.7
2013-09,강원영동,20.6,17.4,24.1
2013-10,강원영동,15.8,11.7,20
2013-11,강원영동,8.6,4.6,12.6
2013-12,강원영동,2.9,-0.6,6.7
2014-01,강원영동,2.1,-2.3,6.1
2014-02,강원영동,1.2,-2,4.9
2014-03,강원영동,8.1,3.4,12.5
2014-04,강원영동,13.7,9.2,18.2
2014-05,강원영동,19.1,14.2,24.1
2014-06,강원영동,20.4,17.7,23.8
2014-07,강원영동,25.6,22.1,29.4
2014-08,강원영동,23.6,20.8,26.7
2014-09,강원영동,20.8,17.2,24.8
2014-10,강원영동,15.9,11.5,20.3
2014-11,강원영동,10.4,6.6,14.3
2014-12,강원영동,0.9,-3.4,5.1
2015-01,강원영동,2,-1.8,6
2015-02,강원영동,2.8,-1,6.8
2015-03,강원영동,7.4,2.3,12.5
2015-04,강원영동,11.6,7.3,15.9
2015-05,강원영동,18.9,13.9,24
2015-06,강원영동,20.3,16.8,24.2
2015-07,강원영동,23.3,20.3,26.7
2015-08,강원영동,25,21.6,28.9
2015-09,강원영동,19.7,16,23.8
2015-10,강원영동,15.4,10.9,20.2
2015-11,강원영동,9.2,6.4,12.2
2015-12,강원영동,4,0.3,7.9
2016-01,강원영동,-0.4,-4.2,3.7
2016-02,강원영동,1.4,-2.3,5.2
2016-03,강원영동,7.5,3.1,11.9
2016-04,강원영동,13.4,8.4,18.6
2016-05,강원영동,18.3,13.4,23.8
2016-06,강원영동,21.3,17.9,25.1
2016-07,강원영동,23.5,21,26.7
2016-08,강원영동,25.7,22.2,29.6
2016-09,강원영동,20.5,17.6,24
2016-10,강원영동,15.5,11.9,19.4
2016-11,강원영동,8.8,4.4,13.1
2016-12,강원영동,4.7,0.8,8.8
2017-01,강원영동,1.2,-2.6,5.4
2017-02,강원영동,3.3,-1.2,8
2017-03,강원영동,7.1,2.7,11.6
2017-04,강원영동,15.1,10.1,20.4
2017-05,강원영동,19.5,14.6,24.6
2017-06,강원영동,20.5,16.5,24.8
2017-07,강원영동,26.2,23.2,29.6
2017-08,강원영동,24,21.4,27.1
2017-09,강원영동,21.1,16.7,25.5
2017-10,강원영동,14.9,11.2,19
2017-11,강원영동,8.4,3.8,13
2017-12,강원영동,1.1,-3.1,5.3
2018-01,강원영동,-0.8,-4.7,3.6
2018-02,강원영동,0,-4.3,4.6
2018-03,강원영동,8.6,3.6,13.3
2018-04,강원영동,13.8,8.4,19.3
2018-05,강원영동,16.6,12.4,21.2
2018-06,강원영동,22.3,18.4,26.6
2018-07,강원영동,25.9,23,29.5
2018-08,강원영동,25.9,22.7,29.6
2018-09,강원영동,20,16.4,23.9
2018-10,강원영동,13.8,9.7,18.2
2018-11,강원영동,9.6,6,13.9
2018-12,강원영동,2.2,-1.7,6.6
2019-01,강원영동,2.3,-2,7
2019-02,강원영동,3.2,-0.9,7.4
2019-03,강원영동,8.6,3.8,13.5
2019-04,강원영동,12.3,7.2,16.9
2019-05,강원영동,20.4,15.3,25.6
2019-06,강원영동,20.7,17,25.3
2019-07,강원영동,25.3,22.5,28.6
2019-08,강원영동,26.1,23,30.1
2019-09,강원영동,21.2,17.9,25.3
2019-10,강원영동,14.7,10.5,19.5
2019-11,강원영동,8.1,3.5,13.7
2019-12,강원영동,2.9,-1.5,7.6
2020-01,강원영동,2.2,-1.1,6.2
2020-02,강원영동,2.8,-1.7,7.5
2020-03,강원영동,6.9,1.5,12.4
2020-04,강원영동,9.9,4.7,15.2
2020-05,강원영동,16.7,12.2,21.9
2020-06,강원영동,22.3,17.9,27.1
2020-07,강원영동,21,18,24.5
2020-08,강원영동,25.3,22.3,29.2
2020-09,강원영동,18.8,15.5,22.8
2020-10,강원영동,13.1,8.4,18.4
2020-11,강원영동,8.9,4.3,13.7
2020-12,강원영동,0.7,-3.4,5.3
2021-01,강원영동,-1.7,-6.3,3
2021-02,강원영동,2.9,-2.1,8
2021-03,강원영동,7.7,2.9,12.9
2021-04,강원영동,11.8,6.8,16.9
2021-05,강원영동,16,11.3,21
2021-06,강원영동,20.1,16.4,24.3
2021-07,강원영동,24.8,20.9,29.4
2021-08,강원영동,23.4,20.5,27.3
2021-09,강원영동,19.7,16.4,23.8
2021-10,강원영동,14.3,10.1,19.4
2021-11,강원영동,,,

